ConfigurationId;EvolutionOperation(delete-merge-extract);GuidanceIdFromPaper;PreservesBehavior
1;merge;M1;true
2;merge;M1;true
3;merge;M1;true
4;merge;M0;true
5;merge;M1;true
6;merge;M0;true
7;merge;M1;true
8;merge;M1;true
9;merge;M1;true
10;merge;M1;true
11;merge;M1;true
12;merge;M1;true
13;merge;M1;true
14;merge;M1;true
15;merge;M0;true
16;merge;M0;true
17;merge;M1;true
18;merge;M1;true
19;merge;M1;true
20;merge;M1;true
21;merge;M1;true
22;merge;M0;true
23;merge;M1;true
24;merge;M1;true
25;merge;M1;true
26;merge;M1;true
27;merge;M0;true
28;merge;M1;true
29;merge;M0;true
30;merge;M1;true
31;merge;M1;true
32;merge;M1;true
33;merge;M1;true
34;merge;M1;true
35;merge;M1;true
36;merge;M1;true
37;merge;M1;true
38;merge;M1;true
39;merge;M1;true
40;merge;M1;true
41;merge;M1;true
42;merge;M1;true
43;merge;M1;true
44;merge;M0;true
45;merge;M1;true
46;merge;M1;true
47;merge;M1;true
48;merge;M1;true
49;merge;M0;true
50;merge;M1;true
51;merge;M1;true
52;merge;M1;true
53;merge;M1;true
54;merge;M1;true
55;merge;M1;true
56;merge;M1;true
57;merge;M1;true
58;merge;M1;true
59;merge;M1;true
60;merge;M1;true
61;merge;M1;true
62;merge;M1;true
63;merge;M1;true
64;merge;M1;true
65;merge;M1;true
66;merge;M1;true
67;merge;M1;true
68;merge;M1;true
69;merge;M1;true
70;merge;M1;true
71;merge;M1;true
72;merge;M1;true
73;merge;M1;true
74;merge;M0;true
75;merge;M1;true
76;merge;M0;true
77;merge;M1;true
78;merge;M1;true
79;merge;M1;true
80;merge;M1;true
81;merge;M1;true
82;merge;M1;true
83;merge;M1;true
84;merge;M0;true
85;merge;M1;true
86;merge;M0;true
87;merge;M0;true
88;merge;M0;true
89;merge;M0;true
90;merge;M1;true
91;merge;M1;true
92;merge;M1;true
93;merge;M1;true
94;merge;M0;true
95;merge;M1;true
96;merge;M1;true
97;merge;M2;false
98;merge;M0;true
99;merge;M1;true
100;merge;M1;true
101;merge;M0;true
102;merge;M1;true
103;merge;M1;true
104;merge;M1;true
105;merge;M1;true
106;merge;M1;true
107;merge;M1;true
108;merge;M0;true
109;merge;M1;true
110;merge;M1;true
111;merge;M1;true
112;merge;M1;true
113;merge;M1;true
114;merge;M1;true
115;merge;M1;true
116;merge;M1;true
117;merge;M1;true
118;merge;M1;true
119;merge;M1;true
120;merge;M1;true
121;merge;M1;true
122;merge;M1;true
123;merge;M0;true
124;merge;M1;true
125;merge;M1;true
126;merge;M1;true
127;merge;M1;true
128;merge;M1;true
129;merge;M1;true
130;merge;M0;true
131;merge;M1;true
132;merge;M1;true
133;merge;M1;true
134;merge;M0;true
135;merge;M1;true
136;merge;M1;true
137;merge;M1;true
138;merge;M1;true
139;merge;M1;true
140;merge;M1;true
141;merge;M1;true
142;merge;M1;true
143;merge;M1;true
144;merge;M1;true
145;merge;M1;true
146;merge;M1;true
147;merge;M1;true
148;merge;M1;true
149;merge;M1;true
150;merge;M1;true
151;merge;M0;true
152;merge;M1;true
153;merge;M1;true
154;merge;M1;true
155;merge;M1;true
156;merge;M1;true
157;merge;M0;true
158;merge;M1;true
159;merge;M1;true
160;merge;M1;true
161;merge;M0;true
162;merge;M0;true
163;merge;M1;true
164;merge;M0;true
165;merge;M0;true
166;merge;M1;true
167;merge;M0;true
168;merge;M0;true
169;merge;M0;true
170;merge;M1;true
171;merge;M1;true
172;merge;M1;true
173;merge;M1;true
174;merge;M1;true
175;merge;M0;true
176;merge;M1;true
177;merge;M1;true
178;merge;M1;true
179;merge;M1;true
180;merge;M0;true
181;merge;M1;true
182;merge;M1;true
183;merge;M1;true
184;merge;M1;true
185;merge;M1;true
186;merge;M1;true
187;merge;M1;true
188;merge;M0;true
189;merge;M1;true
190;merge;M0;true
191;merge;M1;true
192;merge;M1;true
193;merge;M1;true
194;merge;M1;true
195;merge;M1;true
196;merge;M1;true
197;merge;M1;true
198;merge;M1;true
199;merge;M0;true
200;merge;M1;true
201;merge;M1;true
202;merge;M1;true
203;merge;M1;true
204;merge;M1;true
205;merge;M1;true
206;merge;M1;true
207;merge;M1;true
208;merge;M0;true
209;merge;M1;true
210;merge;M1;true
211;merge;M1;true
212;merge;M1;true
